Filename,Document Name,Revenue/Profit Sharing,Revenue/Profit Sharing-Answer,Price Restrictions,Price Restrictions-Answer,Minimum Commitment,Minimum Commitment-Answer,Volume Restriction,Volume Restriction-Answer,Audit Rights,Audit Rights-Answer
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,['MARKETING AFFILIATE AGREEMENT'],[],No,[],No,['INITIAL ORDER COMMITMENT - MA commits to purchase a minimum of 100 Units in aggregate within the Territory within the first six months of term of this Agreement.'],Yes,[],No,"['MA shall keep accurate records of the sales of the Technology and Maintenance, including Client Registration Cards and shall make these records available for review by a representative of Company within ten (10) business days following the end of each month.']",Yes
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,['VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT'],"['For so long as Rogers is required by Applicable Law to pay copyright royalties relating to Licensed Programs hereunder, Licensor shall reimburse Rogers for 50% of any such royalties actually paid by Rogers, calculated on a rolling basis during the Term and payable monthly.', 'Rogers shall pay to Licensor a fee (the ""License Fee""), which shall be equal to fifty (50)% of Retail Revenues.', 'In consideration for various services and activities that Rogers performs for the benefit of Licensor during the Term, Licensor agrees to pay to Rogers an amount which shall be equal to ten (10)% of License Fees, calculated on a rolling basis during the Term and payable monthly.', 'For so long as Rogers is required by Applicable Law to contribute a percentage of its gross annual revenues from the ROD Service to an independently-administered Canadian program production fund, Licensor shall reimburse Rogers for 50% of the amount required to be remitted to such production fund by Rogers in respect of the exhibition of Licensed Programs (the ""Production Fund Commitment"").']",Yes,[],No,"['Licensor shall make available to Rogers, on a free trial basis and at no cost to Rogers, not less than ten (10) Licensed Programs at all times during the Term (each, a ""Promotional Program"") for distribution and exhibition on the ROD Service to promote the Licensed Programs and the ROD Service.']",Yes,[],No,"[""During the Term, and for a period of twelve (12) months thereafter, Rogers (and its representatives) shall have the right, upon reasonable prior written notice to Licensor, and during regular business hours, to inspect and/or audit Licensor's books and records to confirm compliance with Licensor's obligations under this Section.""]",Yes
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,['CONTENT DISTRIBUTION AND LICENSE AGREEMENT'],"['Revenue Share as specified in this CONTENT DISTRIBUTION AND LICENSE AGREEMENT.', 'The revenue share for the Program is stated in Exhibit B.']",Yes,[],No,[],No,[],No,"[""Each of the Parties may, at its own expense, audit the other Party's compliance with this Agreement, including but not limited to, auditing the other Party's representations and warranties.""]",Yes
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,['WEBSITE CONTENT LICENSE AGREEMENT'],"['In addition to the License Fee payable in accordance with Section 5.1, Licensee shall pay a royalty (""Royalty"") to Licensor according to the following schedule (""Royalty Schedule""):   Subscribers Royalty Payable as Percentage of Gross Revenue 0 - 5000 6.25% 5001 - 7500 6.75% 7501 - 10,000 7.00% 10,001 - 15,000 8.00% 15,001 - 20,000 8.50% 20,001 - 25,000 9.25% 25,001+ 9.75%']",Yes,[],No,[],No,[],No,"['Licensor will pay the cost of such audits unless an audit reveals a discrepancy in payment or reporting of five percent (5%) or more, in which case the Licensee shall reimburse the Licensor for the reasonable cost of the audit.', ""Licensee shall make such books and records, and appropriate personnel, available during normal business hours for audit by Licensor or its authorized representative; provided that Licensor shall:   (a) provide Licensee with reasonable prior notice of any audit;   (b) undertake an audit no more than once per calendar year, unless a prior audit has disclosed a balance due; and   (c) conduct or cause to be conducted such audit in a manner designed to minimize disruption of Licensee's normal business operations.""]",Yes
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,['CONTENT LICENSE AGREEMENT'],"['For content listed in Schedule A6 of Schedule A (each a ""Project""), Licensor will only grant Licensee certain profit participation rights, for certain durations, as detailed and set forth in Schedule A6 of Schedule A.', 'The consideration for the licenses granted by Licensor to Licensee under this Agreement is the issuance of the IP Common Shares as defined in the Amended and Securities Purchase Agreement, dated as of December 21, 2015, by and among the Licensee and the Licensor (the ""Share Consideration"").']",Yes,[],No,[],No,[],No,"['Until one (1) year after the expiration of the Profit Participation of each Project, the books and records will be available for inspection by a certified accounting firm or CPA once per year upon reasonable advance notice.']",Yes
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,['CO-BRANDING AND SERVICES AGREEMENT'],[],No,[],No,[],No,[],No,[],No
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],[],No,"['Following the Initial Term, Women.com shall have the right, upon no fewer than sixty (60) days prior written notice to eDiets, to increase the amount of the Payment Schedule; provided, that (i) Women.com may not increase the Payment Schedule more than once in any period of twelve (12) consecutive months; and (ii) such increase may not exceed twenty percent (20%) of the then current Payment Schedule.']",Yes,"['If Women.com does not deliver the shortfall within sixty (60) days of the end of the applicable quarter, eDiets may terminate this Agreement in its entirety immediately or authorize Women.com to deliver the shortfall within an extended number of days to be mutually agreed upon by the parties (the ""Make Good Period"").', 'Notwithstanding the foregoing, Women.com does guarantee a minimum of 13,000,000 impressions promoting eDiets per year on the Diet Center.', 'If Women.com does not deliver at least 80% of the Quarterly Impression Guarantee for Advertsing Promotions as set forth on Exhibit B (11,250,000 per quarter; 45,000,000 per year); 80% of the Quarterly Impression Guarantee for the Diet Center Logo as set forth on Exhibit B (3,250,000 per quarter; 13,000,000 per year); and 80% of the Quarterly Impression Guarantee for Other Campaigns as set forth on Exhibit B (3,000,000 per quarter; 12,000,000 per year) each quarter following the Launch Date, within sixty (60) days of the end of the applicable quarter, Women.com shall deliver an amount equal to the under-delivery within the same campaign elements, including newsletters, promotions, exclusive sponsorships, targeted rotations, ROS, channel and sub-channel center logo placements, or mutually agreed upon comparable elements.', ""During the Term, eDiets.com will be guaranteed 12 million circulation per year from and after the Effective Date via newsletters, including but not limited to:      >>  Fashion & Beauty Newsletter: 300,000 subscribers per month      >>  Food News: 180,000 subscribers per month      >>  Prevention: 1,600,000 subscribers per month      >>  Internet Scopes:  2,400,000 subscribers per month      >>  Sex & Romance: 120,000 subscribers per month      >>  What's New: 1,100,000 subscribers per month      >>  Women.com Member Newsletter: 1,700,000 subscribers per month\n\nGuaranteed Circulation Per Year:            12,000,000""]",Yes,[],No,[],No
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],"[""On sales of recorded products pursuant to this Agreement (less                   any returns) Integrity will pay to TL royalties in the amount                   of [**]/1/ ($[**]/1/) for each and every unit of the product                   sold by Integrity in the United States pursuant to this                   Agreement, and [**]/1/ the foregoing rate or [**]/1/ percent                   ([**]/1/%) of Integrity's net receipts, whichever is less, on                   subject products outside the United States."", ""On sales of printed products (song books) pursuant to this                   Agreement (less any returns) Integrity will pay to TL                   royalties in the amount of [**]/1/ ($[**]/1/) for each and                   every unit of the product sold by Integrity in the United                   States pursuant to this Agreement, and [**]/1/ the foregoing                   rate or [**]/1/ percent ([**]/1/%) of Integrity's net                   receipts, whichever is less, on subject products outside the                   United States."", 'On sales of products pursuant to this          Agreement (less any returns) TL will pay to Integrity royalties in the          amount of [**]/1/ ($[**]/1/) for each and every unit of the product          sold by it pursuant to this Agreement.']",Yes,[],No,"['In consideration of the above pricing, TL guarantees to                   purchase from Integrity a minimum of ten thousand (10,000)                   units of each recorded Product during the first thirty-two                   (32) months of release.', ""TL's initial order for each recorded                   Product shall be a minimum of five thousand (5,000) units.""]",Yes,"['TL may purchase from Integrity limited quantities of the                   Product for its promotional use, at the Manufacturing cost set                   forth in paragraph 3(a) above, provided the quantity of such                   purchases does not exceed seven percent (7%) of the total                   royalty bearing units of such Product title purchased by TL,                   TL warrants that any units so purchased, whether or not                   labeled ""promotional only"" or cut-out, will be given away for                   purposes of promotion of the Products, and will not be sold.']",Yes,"[""Either party, at its sole expense, upon at least          thirty (30) days written notice (and not more than once in respect of          any accounting period) will have the right to inspect the other party's          books regarding the obligations hereunder for a period of two (2) years          from the date on which any statement is rendered.""]",Yes
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],"['During the Term of this Agreement and during any sell-off period, MusclePharm shall pay Lender a royalty (the ""Royalty"") of 10% on Net Sales (as defined below) of Licensed Products sold through its wholesale Distribution Channels or retail Distribution Channels, as the case may be and 10% on Net Sales of the Training Video and any Products sold in connection with any Training Video as contemplated pursuant to the last sentence of Section 4(a)(i) above.', 'In the event that MusclePharm shall sell any Promotional Products above its cost then Endorser shall be entitled to receive 10% of Net Sales from the sale of such Promotional Products.', 'In the event that Endorser shall agree to produce the Training Video (such decision shall be made by the Endorser exercisable in his sole discretion) and Products (other than the Licensed Products) are featured and sold in connection with such Training Video then Endorser shall receive ten percent (10%) of Net Sales (as defined below) from the sale of any Products other than the Licensed Products featured and sold directly in conjunction with the Training Video.']",Yes,[],No,"['Notwithstanding the foregoing, Lender shall be entitled to receive a guaranteed minimum royalty for each Contract Year including the Additional Term, if any (the ""Guaranteed Minimum Royalty""), payable in accordance with Exhibit ""C"" attached hereto.', 'Endorser shall also supply MusclePharm with at least fifty (50) signed items for each Contract Year, on the Licensed Products or on other items to be mutually agreed upon by the parties hereto, to be used by MusclePharm in connection with the promotion of the Products and/or Licensed Products.', 'Guaranteed Minimum Royalty during the initial Term:   Contract Year   Minimum Royalty   Timing of Payment One   $1,500,000   $500,000 payment due on the following dates: July 23, 2013; October 1, 2013; February 1, 2014 Two   $2,000,000   $666,666.66 payment due on the following dates: July 23, 2014; October 1, 2014; February 1, 2015 Three   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2015; October 1, 2015; February 1, 2016', 'Guaranteed Minimum Royalty during the First Additional Term:   In the event that the Renewal Threshold is achieved in the Third Contract Year, during the First Additional Term the Minimum Royalty and Timing of Payment shall be as follows:   Contract Year   Minimum Royalty   Timing of Payment Four   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2016; October 1, 2016; February 1, 2017 Five   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2017; October 1, 2017; February 1, 2018 Six   $2,500,000   $833,333.33 payment due on the following dates: July 23, 2018; October 1, 2018; February 1, 2019', 'Guaranteed Minimum Royalty during the Second Additional Term:   In the event that the Second Renewal Threshold is achieved in the Sixth Contract Year, during the Second Additional Term the Minimum Royalty and Timing of Payment shall be as follows:   Contract Year   Minimum Royalty   Timing of Payment Seven   $5,000,000   $1,666,666.66 payment due on the following dates: July 23, 2019; October 1, 2019; February 1, 2020 Eight   $5,000,000   $1,666,666.66 payment due on the following dates: July 23, 2020; October 1, 2020; February 1, 2021 Nine   $5,000,000   $1,666,666.66 payment due on the following dates: July 23, 2021; October 1, 2021; February 1, 2022']",Yes,"['During the Term (including any renewal Term, if any), in the event that MusclePharm shall determine to develop and introduce a new Product into the market, MusclePharm shall provide the AS Parties with a sample of the name, design, marketing plan and an actual sample of such new Product (the ""Sample"") and the AS Parties shall have a right of first refusal (exercisable by written notice to MusclePharm within 15 days after receipt of the Sample) to include such new Product in the AS Product Line, it being understood that there shall initially be no less than four (4) Products at the start of the Term and thereafter no more than 8 (eight) Products in the AS Product Line without the mutual written agreement of the parties hereto.']",Yes,"[""MusclePharm shall at all reasonable times during the Term (but no more than once during each Contract Year of the Term), and upon reasonable notice, permit the AS Parties to send their authorized representatives to inspect the facilities of MusclePharm or its agents in order to confirm that the production of the Licensed Products hereunder is in compliance with the quality standards set out herein and, at MusclePharm's expense, randomly test the formulas of the Licensed Products for quality control purposes, although the AS Parties will have no obligation to do so."", ""In the event a shortfall in the amount of five percent (5%) or more is discovered, MusclePharm shall reimburse the AS Parties for the cost of the audit including any reasonable attorney's fees incurred in connection therewith."", 'Lender understands that all books, records, and documents of MusclePharm relating to it have been and remain available for inspection by him or his business and financial advisors upon reasonable notice.', ""The AS Parties shall have the right, upon at least five (5) days written notice and no more than once each Contract Year of the Term to inspect MusclePharm's books and records and all other documents and material in the possession of or under the control of MusclePharm with respect to the Licensed Products at the place or places where such records are normally retained by MusclePharm""]",Yes
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,['CO-BRANDING AGREEMENT'],"['Notwithstanding the foregoing, Online BVI shall be entitled to receive 50% of all Adjusted Net Revenue, in lieu of the Company\'s right to be paid hereunder, in the event that (A) this Agreement remains in effect, (B) Online BVI assumes the obligations of the Company hereunder, and (C) (i) the Deed is terminated pursuant to the terms thereof, or (ii)) the Company is being or has been wound up, liquidated or dissolved. Unless otherwise mutually agreed by the Parties in writing, the Company and Online BVI shall provide for, or make available, the payment methods, fraud prevention mechanisms, and other services related to the receipt of payments in connection with SkypeOut, SkypeIn or Skype Plus services provided through the Company-Skype Branded Application or Company-Skype Branded Web Site (""Payment Services""), in each case as shall be previously approved in writing by Skype, which approval may be withheld in its sole discretion.', 'In consideration of the licenses and other agreements set forth herein, Skype shall be entitled to receive 50% of all Adjusted Net Revenue, and the Company shall be entitled to receive 50% of all Adjusted Net Revenue', 'The respective Parties shall use their best efforts to accompany each respective Statement with payment, to Skype, if provided by the Company or Online BVI (or their associated third parties set forth above), or to the Company (or Online BVI, as applicable), if provided by Skype (or its associated third parties set forth above), as applicable, of 50% of the Adjusted Net Revenue shown on the respective Statements.']",Yes,[],No,[],No,[],No,"[""During such audits, the auditing Party shall have the right to take extracts and/or make copies of the audited Party's records as it deems necessary"", ""Not more than once per calendar quarter, each Party or its independent auditor (who shall be a certified public accountant) shall have the right, on not less than fifteen (15) calendar days prior notice and not during the first twenty (20) days after the close of any fiscal quarter of the other Parties, or within sixty (60) day of the close of such Parties' respective fiscal years, to audit the books of account and records of any and all such Parties. Such audit shall be conducted at the premises where the audited Party maintains consolidated books of account; provided however, that the auditing Party may conduct all or any part of such audit at any of the audited Party's premises where any relevant books of account and/or records are located"", 'The exercise by any Party in whole or in part, at any time of the right to inspect and/or audit records and accounts or of any other right herein granted, or the acceptance by such Party of any statement or statements or the receipt and/or deposit by such Party, of any payment tendered by or on behalf of an audited Party shall be without prejudice to any rights or remedies of the accepting Party and such acceptance, receipt and/or deposit shall not preclude or prevent such accepting Party from thereafter disputing the accuracy of any such statement or payment.', ""Such audits shall be at the auditing Party's cost, except that, subject to Section 5.5, if an audit by an independent accounting firm establishes a deficiency of more than three percent (3%) between the amount shown to be due to the auditing Party and the amount actually paid for the period being audited, all actual and reasonable costs and expenses incurred by the auditing Party in connection with such audit shall be paid by the audited Party, along with the amount of any deficiency, within five (5) business days."", 'Each Party shall cause any Subsidiary or other Affiliate (including, without limitation, a Subsidiary or other Affiliate of the Online Group or Skype Group, as applicable) to grant to the other Party the audit rights granted hereunder with respect to such other Party.']",Yes
