user_session,contract_id,pair_identifier,option1_key,option2_key,winner_key,voted_at,user_agent,ip_address,session_start_time
7a9645a32e0e04a7,"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",2vs3,2,3,2,2025-06-05 16:32:31.389465,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","88.159.167.28, 34.117.33.233, 35.191.32.26,35.232.67.78",2025-06-05 16:31:40.754615
a0e97a80468da61a,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,0vs2,0,2,2,2025-06-06 08:21:24.276348,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","144.178.66.36, 34.111.179.208, 35.191.31.108,34.69.33.25",2025-06-06 08:17:55.853773
91a3abd5a871b431,"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",2vs3,2,3,2,2025-06-10 19:45:51.295073,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","88.159.167.28, 34.111.179.208, 35.191.41.16,34.69.33.25",2025-06-10 19:45:13.901347
91a3abd5a871b431,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement,2vs3,2,3,UNCLEAR,2025-06-10 19:46:48.321266,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","88.159.167.28, 34.111.179.208, 35.191.41.22,34.68.1.153",2025-06-10 19:45:13.901347
16cb05b798f8c671,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT",1vs3,1,3,1,2025-06-11 05:36:47.957237,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","89.205.144.107, 34.117.33.233, 35.191.73.219,104.154.70.112",2025-06-11 05:31:18.183767
16cb05b798f8c671,"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",0vs3,0,3,3,2025-06-11 05:37:36.313942,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","89.205.144.107, 34.117.33.233, 35.191.73.219,35.188.87.224",2025-06-11 05:31:18.183767
16cb05b798f8c671,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,0vs2,0,2,0,2025-06-11 05:43:58.419428,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","89.205.144.107, 34.117.33.233, 35.191.10.75,104.154.70.112",2025-06-11 05:31:18.183767
16cb05b798f8c671,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,1vs2,1,2,1,2025-06-11 05:45:09.546908,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1","89.205.144.107, 34.117.33.233, 35.191.11.33,35.188.87.224",2025-06-11 05:31:18.183767
ai_gemini_0314c4a899e7,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,0vs1,0,1,0,2025-06-11 08:19:49.093373,AI_Gemini_Voter/google/gemini-2.5-flash-preview-05-20,127.0.0.1,2025-06-11 10:19:48.878939
ai_gemini_0314c4a899e7,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,0vs2,0,2,0,2025-06-11 08:19:50.043166,AI_Gemini_Voter/google/gemini-2.5-flash-preview-05-20,127.0.0.1,2025-06-11 10:19:49.827642
